place,number,sex,time
248,8050,M,1:28:16
249,2388,M,1:28:16
250,714,M,1:28:16
251,6102,M,1:28:17
252,8651,W,1:28:18
253,2775,M,1:28:19
254,3138,M,1:28:20
255,6818,M,1:28:20
256,7736,M,1:28:20
257,8496,M,1:28:20
258,7354,M,1:28:21
259,7363,M,1:28:22
260,3815,W,1:28:22
261,7823,W,1:28:22
262,3780,M,1:28:23
263,8933,M,1:28:24
264,6936,M,1:28:24
265,9328,M,1:28:25
266,6801,M,1:28:27
267,9413,M,1:28:27
268,7993,M,1:28:28
269,9383,M,1:28:28
270,4406,M,1:28:29
271,671,M,1:28:31
272,8792,M,1:28:33
273,7179,M,1:28:34
274,8058,M,1:28:35
275,9176,M,1:28:36
276,4349,M,1:28:38
277,5915,W,1:28:38
278,1292,M,1:28:39
279,1721,M,1:28:39
280,2089,M,1:28:40
281,3230,M,1:28:42
282,3959,M,1:28:42
283,4267,M,1:28:42
284,4294,W,1:28:43
285,3203,M,1:28:44
286,2002,M,1:28:46
287,8022,M,1:28:46
288,1923,M,1:28:49
289,7136,W,1:28:49
290,1296,M,1:28:49
291,7886,M,1:28:50
292,1158,M,1:28:53
293,9409,M,1:28:54
294,3797,M,1:28:54
295,2635,M,1:28:55
296,1112,W,1:28:56
297,4132,M,1:28:58
298,2268,M,1:28:58
299,1376,M,1:28:59
300,8712,M,1:28:59
301,4815,M,1:29:02
302,7112,M,1:29:03
303,4828,W,1:29:04
304,8075,M,1:29:04
305,2056,M,1:29:05
306,7057,M,1:29:06
307,1815,M,1:29:06
308,9442,M,1:29:08
309,679,M,1:29:08
310,9157,M,1:29:13
311,5508,M,1:29:16
312,2496,M,1:29:16
313,9056,M,1:29:19
314,1716,M,1:29:20
315,5660,M,1:29:24
316,2498,M,1:29:24
317,4245,M,1:29:26
318,7262,M,1:29:27
319,8898,M,1:29:27
320,2103,M,1:29:29
321,604,M,1:29:31
322,7917,W,1:29:32
323,7659,M,1:29:32
324,6771,M,1:29:32
325,9207,M,1:29:32
326,7784,M,1:29:33
327,8510,M,1:29:34
328,1775,M,1:29:35
329,8443,M,1:29:36
330,7415,M,1:29:36
331,2570,M,1:29:37
332,3559,M,1:29:38
333,5579,M,1:29:40
334,7945,M,1:29:41
335,6601,M,1:29:42
336,3404,M,1:29:47
337,1304,W,1:29:48
338,5406,M,1:29:49
339,4039,M,1:29:49
340,7630,M,1:29:49
341,1118,W,1:29:50
342,8775,M,1:29:50
343,6057,M,1:29:50
344,3967,M,1:29:51
345,940,M,1:29:53
346,3679,M,1:29:54
347,4084,W,1:29:54
348,7324,M,1:29:57
349,5036,M,1:29:57
350,8367,M,1:29:58
351,6882,M,1:29:58
352,4766,M,1:29:58
353,7771,M,1:29:59
354,8704,M,1:29:59
355,6705,M,1:30:00
356,1776,M,1:30:02
357,2249,M,1:30:03
358,7668,W,1:30:04
359,5004,M,1:30:08
360,4598,M,1:30:12
361,2451,M,1:30:13
362,6849,M,1:30:13
363,4935,M,1:30:20
364,1068,M,1:30:21
365,6911,M,1:30:23
366,8886,M,1:30:27
367,5363,M,1:30:30
368,9073,M,1:30:30
369,8398,M,1:30:30
370,3792,M,1:30:31
371,4096,M,1:30:32
372,3401,M,1:30:33
373,5597,M,1:30:34
374,8083,W,1:30:34
375,5350,M,1:30:38
376,8047,M,1:30:39
377,3123,M,1:30:40
378,1733,M,1:30:41
379,9102,W,1:30:41
380,6388,M,1:30:43
381,7648,W,1:30:45
382,5898,M,1:30:48
383,6047,M,1:30:49
384,1942,M,1:30:49
385,1884,M,1:30:50
386,2779,M,1:30:50
387,8034,M,1:30:51
388,2113,M,1:30:52
389,8081,W,1:30:53
390,4420,M,1:30:54
391,6955,M,1:30:54
392,8762,W,1:30:57
393,4074,M,1:30:57
394,2884,M,1:30:58
395,4841,M,1:31:00
396,6786,M,1:31:03
397,2989,M,1:31:05
398,2389,M,1:31:09
399,7049,M,1:31:09
400,1202,M,1:31:10
401,8483,M,1:31:17
402,2297,M,1:31:17
403,7770,M,1:31:20
404,7926,M,1:31:24
405,7414,M,1:31:34
406,2776,M,1:31:46
407,8958,W,1:31:47
408,8028,M,1:31:49
409,7639,M,1:31:50
410,5030,M,1:31:50
411,7503,M,1:31:50
412,5083,M,1:31:51
413,6969,M,1:31:51
414,9356,M,1:31:53
415,7578,M,1:31:55
416,2126,M,1:32:00
417,7843,M,1:32:00
418,9087,M,1:32:00
419,6320,M,1:32:01
420,5981,M,1:32:02
421,2995,M,1:32:03
422,2469,M,1:32:04
423,7448,M,1:32:04
424,1952,M,1:32:05
425,1411,M,1:32:06
426,5962,W,1:32:06
427,8025,M,1:32:08
428,5603,M,1:32:09
429,750,M,1:32:09
430,5103,M,1:32:10
431,4088,M,1:32:11
432,3078,M,1:32:11
433,2293,M,1:32:11
434,1498,M,1:32:13
435,4477,M,1:32:13
436,5138,M,1:32:17
437,2356,M,1:32:19
438,2442,M,1:32:20
439,1876,M,1:32:21
440,7582,M,1:32:21
441,9430,M,1:32:22
442,9474,M,1:32:23
443,988,M,1:32:24
444,9228,M,1:32:24
445,5860,W,1:32:25
446,8078,M,1:32:26
447,8990,M,1:32:26
448,7333,M,1:32:29
449,4838,M,1:32:33
450,7334,M,1:32:33
451,4593,W,1:32:35
452,1770,M,1:32:35
453,6766,M,1:32:36
454,3441,M,1:32:39
455,9105,W,1:32:40
456,815,M,1:32:40
457,2831,M,1:32:40
458,8589,W,1:32:42
459,6702,M,1:32:49
460,2640,M,1:32:49
461,3372,M,1:32:50
