place,number,sex,time
1075,7724,M,1:40:32
1076,3071,M,1:40:33
1077,8218,M,1:40:33
1078,7818,W,1:40:33
1079,2115,M,1:40:33
1080,1852,W,1:40:33
1081,9076,M,1:40:34
1082,1859,M,1:40:35
1083,3737,M,1:40:35
1084,4184,M,1:40:35
1085,4365,W,1:40:35
1086,5329,M,1:40:35
1087,9148,M,1:40:36
1088,2185,M,1:40:36
1089,8061,M,1:40:36
1090,1405,W,1:40:38
1091,9403,M,1:40:38
1092,6268,M,1:40:38
1093,9251,M,1:40:39
1094,8539,M,1:40:40
1095,4919,M,1:40:40
1096,6922,M,1:40:41
1097,7543,M,1:40:41
1098,1124,M,1:40:41
1099,7240,M,1:40:44
1100,4899,M,1:40:45
1101,3063,M,1:40:46
1102,6686,M,1:40:46
1103,5448,M,1:40:46
1104,4906,M,1:40:46
1105,1110,M,1:40:47
1106,633,M,1:40:47
1107,5167,M,1:40:49
1108,2474,W,1:40:50
1109,4936,M,1:40:51
1110,5352,M,1:40:51
1111,3580,W,1:40:51
1112,6468,M,1:40:51
1113,7613,M,1:40:51
1114,9418,M,1:40:51
1115,3296,M,1:40:51
1116,7151,M,1:40:52
1117,4794,M,1:40:53
1118,2811,M,1:40:53
1119,2901,M,1:40:53
1120,5463,M,1:40:53
1121,9294,M,1:40:54
1122,3731,M,1:40:54
1123,4155,W,1:40:55
1124,3762,M,1:40:55
1125,2951,M,1:40:57
1126,7120,M,1:40:59
1127,8698,M,1:40:59
1128,4511,W,1:41:00
1129,6248,W,1:41:00
1130,1673,M,1:41:00
1131,4324,M,1:41:01
1132,9046,M,1:41:01
1133,9195,M,1:41:01
1134,2175,M,1:41:02
1135,9212,M,1:41:02
1136,725,M,1:41:02
1137,7226,M,1:41:03
1138,7253,M,1:41:03
1139,8001,M,1:41:03
1140,9405,M,1:41:04
1141,7869,M,1:41:04
1142,9153,M,1:41:04
1143,9286,M,1:41:05
1144,6634,W,1:41:05
1145,4507,M,1:41:06
1146,8421,M,1:41:07
1147,3769,M,1:41:08
1148,3770,M,1:41:09
1149,1630,W,1:41:09
1150,9208,W,1:41:10
1151,753,M,1:41:11
1152,2051,W,1:41:11
1153,3500,W,1:41:11
1154,932,M,1:41:12
1155,2762,M,1:41:12
1156,2787,M,1:41:12
1157,6447,M,1:41:13
1158,2253,M,1:41:13
1159,6026,M,1:41:13
1160,6787,M,1:41:14
1161,5523,M,1:41:14
1162,2021,M,1:41:14
1163,5462,M,1:41:15
1164,8665,M,1:41:16
1165,7666,M,1:41:17
1166,2866,M,1:41:17
1167,7966,M,1:41:17
1168,802,M,1:41:17
1169,857,W,1:41:17
1170,3430,W,1:41:17
1171,4529,W,1:41:18
1172,3795,M,1:41:18
1173,5840,M,1:41:19
1174,2425,W,1:41:19
1175,6591,M,1:41:19
1176,4225,W,1:41:20
1177,8054,M,1:41:20
1178,7190,M,1:41:21
1179,8135,M,1:41:21
1180,7761,M,1:41:22
1181,6020,M,1:41:24
1182,7431,M,1:41:26
1183,8504,M,1:41:26
1184,5140,M,1:41:27
1185,6721,M,1:41:27
1186,700,M,1:41:27
1187,2109,M,1:41:27
1188,6043,M,1:41:27
1189,3323,M,1:41:27
1190,7689,M,1:41:27
1191,4475,M,1:41:28
1192,5513,M,1:41:28
1193,4876,M,1:41:28
1194,9280,M,1:41:29
1195,913,M,1:41:29
1196,9377,M,1:41:30
1197,5529,M,1:41:31
1198,5971,W,1:41:32
1199,1048,M,1:41:32
1200,9092,M,1:41:32
1201,3309,M,1:41:33
1202,9344,M,1:41:33
1203,1470,W,1:41:33
1204,5178,M,1:41:35
1205,3729,W,1:41:35
1206,4051,M,1:41:35
1207,7294,W,1:41:36
1208,9389,W,1:41:38
1209,1662,M,1:41:39
1210,7682,M,1:41:40
1211,5456,W,1:41:41
1212,3733,M,1:41:41
1213,8470,M,1:41:42
1214,4777,M,1:41:42
1215,4124,M,1:41:43
1216,8962,W,1:41:43
1217,7939,M,1:41:44
1218,3228,M,1:41:44
1219,6846,M,1:41:45
1220,7529,M,1:41:45
1221,4224,W,1:41:45
1222,9406,M,1:41:46
1223,9455,M,1:41:46
1224,7267,M,1:41:46
1225,6442,W,1:41:46
1226,9225,M,1:41:46
1227,4969,M,1:41:47
1228,1019,M,1:41:48
1229,9027,M,1:41:49
1230,5892,M,1:41:49
1231,5917,M,1:41:49
1232,8408,M,1:41:49
1233,5792,M,1:41:50
1234,941,M,1:41:53
1235,4254,M,1:41:55
1236,1844,M,1:41:55
1237,3409,M,1:41:56
1238,5964,M,1:41:56
1239,6866,M,1:41:56
1240,2237,W,1:41:56
1241,2088,M,1:41:56
1242,7268,M,1:41:58
1243,6042,M,1:41:59
1244,2381,W,1:42:00
1245,6289,M,1:42:00
1246,7885,W,1:42:00
1247,7884,M,1:42:00
1248,5166,W,1:42:01
1249,7948,W,1:42:01
1250,790,M,1:42:01
1251,4501,M,1:42:01
1252,6404,W,1:42:02
1253,9432,M,1:42:02
1254,6462,W,1:42:02
1255,1312,M,1:42:04
1256,4143,W,1:42:05
1257,6190,M,1:42:06
1258,869,M,1:42:06
1259,2687,M,1:42:06
1260,1526,M,1:42:06
1261,1651,M,1:42:06
1262,7231,W,1:42:07
1263,4630,M,1:42:08
1264,9078,W,1:42:08
1265,5528,W,1:42:08
1266,8023,M,1:42:09
1267,4634,W,1:42:09
1268,9016,M,1:42:09
1269,5417,M,1:42:09
1270,5527,M,1:42:10
1271,1253,M,1:42:10
1272,1888,W,1:42:10
1273,775,M,1:42:10
1274,9055,M,1:42:11
1275,5473,M,1:42:11
1276,2757,M,1:42:11
1277,6066,M,1:42:11
1278,3068,M,1:42:11
1279,643,M,1:42:12
1280,6739,M,1:42:13
1281,2553,M,1:42:13
1282,6848,M,1:42:14
1283,5618,M,1:42:14
1284,7489,M,1:42:15
1285,608,M,1:42:15
1286,7313,M,1:42:15
1287,7348,M,1:42:15
1288,1642,W,1:42:15
1289,4997,W,1:42:15
1290,1640,M,1:42:16
1291,769,M,1:42:16
1292,9029,M,1:42:16
1293,3578,W,1:42:16
1294,8879,M,1:42:17
1295,6980,M,1:42:19
1296,2627,W,1:42:20
1297,8839,M,1:42:22
1298,8642,M,1:42:23
1299,4268,M,1:42:23
1300,6434,M,1:42:23
1301,3579,M,1:42:23
1302,958,M,1:42:23
1303,2399,M,1:42:24
1304,1447,M,1:42:24
1305,4589,W,1:42:25
1306,2527,W,1:42:26
1307,6055,M,1:42:26
1308,8734,M,1:42:27
1309,1314,M,1:42:28
1310,5155,W,1:42:29
1311,9301,M,1:42:29
1312,786,M,1:42:29
1313,3371,W,1:42:31
1314,6284,M,1:42:32
1315,8720,M,1:42:32
1316,4447,M,1:42:32
1317,8065,M,1:42:32
1318,7439,M,1:42:32
1319,3923,W,1:42:33
1320,7521,W,1:42:33
1321,8688,M,1:42:35
1322,1825,M,1:42:35
1323,1239,M,1:42:36
1324,7883,M,1:42:36
1325,8718,M,1:42:36
1326,8581,M,1:42:37
1327,8018,M,1:42:38
1328,5291,M,1:42:39
1329,3397,M,1:42:40
1330,5941,M,1:42:42
1331,8121,M,1:42:44
1332,9074,M,1:42:45
1333,7848,M,1:42:45
1334,5453,M,1:42:45
1335,8388,M,1:42:45
1336,6774,M,1:42:45
1337,5580,M,1:42:45
1338,8524,M,1:42:46
1339,6599,M,1:42:46
1340,5316,W,1:42:46
1341,6696,M,1:42:46
1342,6115,M,1:42:47
1343,9014,M,1:42:47
1344,6394,M,1:42:48
1345,2898,M,1:42:49
1346,859,M,1:42:49
1347,3766,M,1:42:50
1348,1795,W,1:42:50
1349,989,W,1:42:52
1350,7359,M,1:42:52
1351,7212,M,1:42:52
1352,7061,M,1:42:53
1353,7569,M,1:42:53
1354,8144,M,1:42:54
1355,8045,M,1:42:55
1356,5418,M,1:42:56
1357,7130,M,1:42:56
1358,870,M,1:42:56
1359,7691,M,1:42:56
1360,1120,M,1:42:57
1361,4190,M,1:42:57
1362,6119,M,1:42:58
1363,2055,M,1:43:00
1364,6054,M,1:43:00
1365,4673,M,1:43:01
1366,2125,M,1:43:02
1367,4989,M,1:43:02
1368,5994,W,1:43:02
1369,818,W,1:43:03
1370,1905,M,1:43:04
1371,1050,M,1:43:05
1372,3681,M,1:43:06
1373,825,M,1:43:08
1374,3727,W,1:43:08
1375,4880,M,1:43:08
1376,4175,M,1:43:09
1377,5738,M,1:43:10
1378,1286,M,1:43:10
1379,7871,M,1:43:10
1380,8866,M,1:43:11
1381,7203,M,1:43:11
1382,3619,M,1:43:11
1383,9466,M,1:43:12
1384,8676,M,1:43:12
1385,8719,W,1:43:12
1386,4734,M,1:43:12
1387,2649,M,1:43:14
1388,3901,M,1:43:15
1389,6392,M,1:43:15
1390,1479,M,1:43:16
1391,8017,M,1:43:16
1392,7667,M,1:43:17
1393,3152,M,1:43:17
1394,6154,W,1:43:17
1395,3126,M,1:43:19
1396,3713,W,1:43:21
1397,8862,M,1:43:21
1398,1629,M,1:43:22
1399,8414,M,1:43:24
1400,6133,W,1:43:24
1401,6071,M,1:43:24
1402,2087,M,1:43:25
1403,6925,M,1:43:26
1404,7856,M,1:43:26
1405,2443,M,1:43:26
1406,809,M,1:43:26
1407,8008,M,1:43:27
1408,8888,M,1:43:28
1409,5254,M,1:43:29
1410,8324,W,1:43:32
1411,1270,W,1:43:32
1412,948,M,1:43:32
1413,6638,M,1:43:32
1414,7289,M,1:43:32
1415,8100,M,1:43:33
1416,8101,W,1:43:34
1417,9298,M,1:43:34
1418,7469,M,1:43:35
1419,6382,W,1:43:35
1420,3925,M,1:43:36
1421,848,M,1:43:36
1422,5078,M,1:43:36
1423,3952,M,1:43:36
1424,9085,M,1:43:37
1425,6755,M,1:43:37
1426,5408,M,1:43:37
1427,2569,M,1:43:38
1428,1901,M,1:43:38
1429,7693,M,1:43:39
1430,534,M,1:43:39
1431,3595,M,1:43:40
1432,5273,M,1:43:41
1433,9061,M,1:43:42
1434,5953,M,1:43:42
1435,1561,M,1:43:42
1436,6222,M,1:43:42
1437,7097,M,1:43:42
1438,8731,M,1:43:42
1439,3526,M,1:43:42
1440,5757,W,1:43:42
1441,6137,W,1:43:42
1442,1887,M,1:43:43
1443,1947,M,1:43:43
1444,6200,W,1:43:45
1445,7973,M,1:43:46
1446,1242,W,1:43:47
1447,2556,M,1:43:47
1448,3497,M,1:43:48
1449,6087,M,1:43:48
1450,3292,M,1:43:48
1451,7891,M,1:43:48
1452,8004,M,1:43:49
1453,6777,M,1:43:50
1454,2314,M,1:43:50
1455,4063,M,1:43:53
1456,3968,W,1:43:53
1457,5160,M,1:43:53
1458,4937,M,1:43:53
1459,8444,W,1:43:53
1460,8374,M,1:43:55
1461,5389,M,1:43:55
1462,8076,M,1:43:56
1463,4674,M,1:43:58
1464,3021,M,1:43:59
1465,4117,M,1:43:59
1466,1032,W,1:43:59
1467,4042,M,1:44:00
1468,5873,M,1:44:00
1469,5333,M,1:44:01
1470,1309,M,1:44:03
1471,5831,M,1:44:04
1472,4902,M,1:44:05
1473,6215,M,1:44:05
1474,6870,M,1:44:06
1475,9451,M,1:44:08
1476,5081,M,1:44:09
1477,8404,M,1:44:09
1478,8629,M,1:44:09
1479,9447,M,1:44:09
1480,3963,M,1:44:10
1481,8643,M,1:44:10
1482,2677,M,1:44:10
1483,4177,M,1:44:11
1484,2170,W,1:44:12
1485,9362,M,1:44:13
1486,1076,M,1:44:13
1487,2489,M,1:44:13
1488,5640,M,1:44:14
1489,1114,M,1:44:14
1490,2101,W,1:44:15
1491,8685,M,1:44:15
1492,7528,M,1:44:16
1493,7802,M,1:44:16
1494,8039,M,1:44:17
1495,8816,M,1:44:18
1496,6233,M,1:44:18
1497,4767,M,1:44:18
1498,3034,M,1:44:18
1499,2591,M,1:44:20
1500,1132,W,1:44:21
1501,6093,M,1:44:21
1502,8406,M,1:44:21
1503,9275,W,1:44:21
1504,5258,M,1:44:23
1505,8184,M,1:44:23
1506,9267,M,1:44:23
1507,8430,M,1:44:24
1508,8622,M,1:44:25
1509,4362,M,1:44:25
1510,7054,M,1:44:25
1511,9289,M,1:44:25
1512,4373,M,1:44:25
1513,2524,M,1:44:25
1514,1408,M,1:44:26
1515,5260,M,1:44:27
1516,1373,M,1:44:27
1517,3787,M,1:44:27
1518,762,W,1:44:27
1519,9238,M,1:44:28
1520,6889,W,1:44:28
1521,8601,M,1:44:28
1522,1713,W,1:44:28
1523,6778,W,1:44:30
1524,4701,M,1:44:30
1525,1403,M,1:44:30
1526,5461,M,1:44:31
1527,976,M,1:44:31
1528,9019,W,1:44:31
1529,8278,M,1:44:31
1530,8799,M,1:44:34
1531,3975,W,1:44:34
1532,7378,M,1:44:34
1533,5896,M,1:44:35
1534,9119,M,1:44:35
1535,6287,M,1:44:36
1536,1744,M,1:44:36
1537,1004,W,1:44:36
1538,5904,M,1:44:37
1539,8429,M,1:44:37
1540,8031,M,1:44:37
1541,2063,M,1:44:37
1542,7775,M,1:44:38
1543,8611,M,1:44:39
1544,3577,M,1:44:39
1545,8040,M,1:44:39
1546,6906,W,1:44:39
1547,6905,M,1:44:39
1548,5814,M,1:44:39
1549,5541,M,1:44:40
1550,7539,M,1:44:40
1551,3682,M,1:44:40
1552,5359,W,1:44:41
1553,1343,M,1:44:41
1554,6966,M,1:44:43
1555,6714,M,1:44:44
1556,792,M,1:44:44
1557,8413,M,1:44:45
1558,3918,W,1:44:45
1559,8385,M,1:44:45
1560,6706,M,1:44:46
1561,3789,M,1:44:46
1562,1000,W,1:44:46
1563,677,M,1:44:47
1564,6059,M,1:44:47
1565,7025,M,1:44:47
1566,8838,M,1:44:48
1567,2676,M,1:44:48
1568,6845,M,1:44:48
1569,6021,M,1:44:48
1570,9268,M,1:44:48
1571,5271,W,1:44:49
1572,2348,M,1:44:49
1573,3448,W,1:44:49
1574,4796,W,1:44:50
1575,6844,M,1:44:50
1576,9004,M,1:44:50
1577,5010,W,1:44:50
1578,6985,M,1:44:51
1579,9206,M,1:44:52
1580,8902,M,1:44:52
1581,8169,M,1:44:53
1582,8837,M,1:44:54
1583,3018,W,1:44:55
1584,7844,W,1:44:55
1585,9160,M,1:44:56
1586,7893,M,1:44:57
1587,4512,M,1:44:58
1588,5400,M,1:44:58
1589,6795,M,1:44:59
1590,3480,M,1:44:59
1591,6776,M,1:44:59
1592,6064,W,1:45:00
1593,6116,M,1:45:01
1594,2748,M,1:45:02
1595,3330,M,1:45:03
1596,8403,M,1:45:04
1597,9360,M,1:45:05
1598,2892,W,1:45:05
1599,2768,M,1:45:05
1600,6299,M,1:45:05
1601,6419,W,1:45:06
1602,5698,W,1:45:06
1603,8495,M,1:45:07
1604,1726,W,1:45:07
1605,1986,M,1:45:08
1606,8770,M,1:45:08
1607,3844,M,1:45:08
1608,8377,M,1:45:09
1609,3818,M,1:45:09
1610,6677,W,1:45:09
1611,2430,M,1:45:10
1612,3604,M,1:45:11
1613,6684,M,1:45:11
1614,3652,W,1:45:11
1615,8883,M,1:45:11
1616,9351,W,1:45:11
1617,1757,M,1:45:12
1618,6074,M,1:45:12
1619,4323,M,1:45:13
1620,8466,M,1:45:13
1621,1971,W,1:45:13
1622,8995,M,1:45:13
1623,6141,W,1:45:14
1624,3904,M,1:45:14
1625,4465,M,1:45:15
1626,4878,M,1:45:16
1627,7652,M,1:45:16
1628,5450,M,1:45:16
1629,6170,M,1:45:18
1630,7373,M,1:45:19
1631,7840,M,1:45:20
1632,2009,W,1:45:20
1633,6514,M,1:45:21
1634,2568,M,1:45:21
1635,884,M,1:45:22
1636,7633,M,1:45:22
1637,5224,M,1:45:22
1638,6824,M,1:45:24
1639,8551,M,1:45:25
1640,3049,M,1:45:26
1641,2239,M,1:45:28
1642,1729,W,1:45:29
1643,8783,M,1:45:29
1644,1073,W,1:45:29
1645,5309,M,1:45:30
1646,2816,M,1:45:31
1647,4201,W,1:45:31
1648,8737,W,1:45:31
1649,4333,M,1:45:32
1650,8454,M,1:45:32
1651,9118,M,1:45:33
1652,2903,M,1:45:33
1653,4167,M,1:45:34
1654,2878,M,1:45:34
1655,7545,M,1:45:35
1656,4101,M,1:45:35
1657,3549,M,1:45:35
1658,8155,M,1:45:35
1659,9200,W,1:45:36
1660,850,W,1:45:36
1661,2997,M,1:45:36
1662,953,M,1:45:36
1663,7129,W,1:45:37
1664,5479,M,1:45:37
1665,3669,W,1:45:38
1666,6560,M,1:45:38
1667,8600,W,1:45:38
1668,6094,M,1:45:38
1669,793,M,1:45:38
1670,4280,M,1:45:38
1671,8867,M,1:45:40
1672,1792,M,1:45:40
1673,4122,M,1:45:41
1674,7758,M,1:45:41
1675,7757,M,1:45:41
1676,2536,M,1:45:41
1677,4795,M,1:45:42
1678,3242,M,1:45:42
1679,8809,W,1:45:43
1680,5987,M,1:45:43
1681,4783,W,1:45:43
1682,3105,W,1:45:43
1683,6640,M,1:45:43
1684,7228,M,1:45:44
1685,7795,M,1:45:46
1686,6254,M,1:45:47
1687,1957,M,1:45:48
1688,8907,M,1:45:48
1689,8222,M,1:45:48
1690,8085,W,1:45:49
1691,9065,M,1:45:50
1692,6000,W,1:45:50
1693,4913,M,1:45:50
1694,5591,M,1:45:51
1695,4581,M,1:45:51
1696,9133,W,1:45:51
1697,1840,M,1:45:51
1698,843,M,1:45:52
1699,4671,M,1:45:52
1700,695,W,1:45:52
1701,4994,M,1:45:53
1702,7269,M,1:45:53
1703,9018,M,1:45:54
1704,3836,M,1:45:54
1705,7887,M,1:45:55
1706,3164,W,1:45:55
1707,7546,M,1:45:56
1708,1378,W,1:45:56
1709,6458,M,1:45:57
1710,2228,W,1:45:57
1711,5402,W,1:45:58
1712,2709,M,1:45:59
1713,7153,W,1:46:00
1714,7036,M,1:46:00
1715,2719,M,1:46:00
1716,4120,M,1:46:01
1717,5978,W,1:46:01
1718,1196,W,1:46:01
1719,1657,M,1:46:01
1720,2286,M,1:46:02
1721,8380,W,1:46:02
1722,6322,M,1:46:03
1723,5407,M,1:46:04
1724,8185,M,1:46:04
1725,6607,M,1:46:05
1726,5627,M,1:46:05
1727,2149,W,1:46:05
1728,1683,M,1:46:05
1729,7772,M,1:46:06
1730,6928,M,1:46:06
1731,6065,M,1:46:06
1732,5789,W,1:46:07
1733,5485,W,1:46:08
1734,7923,M,1:46:08
1735,1435,M,1:46:09
1736,4688,M,1:46:09
1737,4960,M,1:46:09
1738,5755,M,1:46:09
1739,1422,W,1:46:09
1740,910,M,1:46:09
1741,8825,M,1:46:10
1742,3357,M,1:46:10
1743,8219,W,1:46:10
1744,3503,M,1:46:11
1745,7862,M,1:46:11
1746,8989,M,1:46:11
1747,3924,W,1:46:11
1748,3752,W,1:46:11
1749,1423,W,1:46:13
1750,9261,M,1:46:14
1751,9190,W,1:46:14
1752,7124,M,1:46:15
1753,5191,W,1:46:16
1754,4556,W,1:46:16
1755,3256,M,1:46:17
1756,1953,M,1:46:17
1757,3369,W,1:46:18
1758,7607,M,1:46:18
1759,708,M,1:46:19
1760,3445,W,1:46:19
1761,9141,W,1:46:19
1762,7135,M,1:46:20
1763,2046,W,1:46:20
1764,7702,M,1:46:20
1765,2300,M,1:46:21
1766,7447,W,1:46:22
1767,2662,W,1:46:22
1768,997,W,1:46:22
1769,5786,M,1:46:23
1770,3808,M,1:46:23
1771,9341,M,1:46:23
1772,8585,M,1:46:24
1773,8699,M,1:46:24
1774,7164,M,1:46:24
1775,5093,W,1:46:25
1776,6283,M,1:46:25
1777,3000,M,1:46:26
1778,2639,M,1:46:27
1779,7655,M,1:46:27
1780,6780,M,1:46:28
1781,4338,W,1:46:28
1782,5777,M,1:46:29
1783,7526,M,1:46:29
1784,1398,M,1:46:32
1785,549,M,1:46:32
1786,4542,M,1:46:32
1787,599,W,1:46:33
1788,3951,M,1:46:33
1789,6397,M,1:46:33
1790,7249,W,1:46:35
1791,2612,M,1:46:35
1792,1612,M,1:46:36
1793,7386,M,1:46:36
1794,7734,M,1:46:36
1795,3997,M,1:46:37
1796,9428,M,1:46:38
1797,2672,M,1:46:38
1798,4848,W,1:46:38
1799,4332,M,1:46:39
1800,8788,M,1:46:39
1801,6730,M,1:46:40
1802,3462,W,1:46:42
1803,6909,M,1:46:42
1804,3547,M,1:46:43
1805,9255,M,1:46:43
1806,8631,M,1:46:43
1807,8070,M,1:46:44
1808,778,W,1:46:44
1809,2444,M,1:46:44
1810,1516,M,1:46:45
1811,5217,M,1:46:45
1812,4835,M,1:46:47
1813,3363,W,1:46:47
1814,2603,M,1:46:48
1815,1029,W,1:46:48
1816,8998,W,1:46:49
1817,3346,M,1:46:49
1818,3834,M,1:46:49
1819,2047,M,1:46:49
1820,5655,W,1:46:50
1821,5457,W,1:46:50
1822,7928,W,1:46:51
1823,9426,W,1:46:52
1824,3062,W,1:46:53
1825,5636,M,1:46:53
1826,5637,W,1:46:54
1827,3659,M,1:46:54
1828,7664,M,1:46:56
1829,8638,M,1:46:56
1830,7082,M,1:46:57
1831,3076,W,1:46:58
1832,8405,M,1:46:59
1833,3532,M,1:47:00
1834,4221,W,1:47:00
1835,6278,M,1:47:00
1836,9189,W,1:47:00
1837,6491,M,1:47:00
1838,7499,M,1:47:00
1839,3499,M,1:47:01
1840,4530,M,1:47:01
1841,8915,M,1:47:01
1842,5055,M,1:47:01
1843,6012,M,1:47:01
1844,5410,M,1:47:02
1845,5441,M,1:47:02
1846,701,M,1:47:03
1847,8007,M,1:47:03
1848,7790,M,1:47:04
1849,9101,M,1:47:04
1850,1620,M,1:47:04
1851,8200,M,1:47:04
1852,8126,M,1:47:04
1853,7713,M,1:47:04
1854,6117,M,1:47:05
1855,6016,M,1:47:05
1856,5512,M,1:47:05
1857,1911,M,1:47:05
1858,5824,W,1:47:06
1859,6644,W,1:47:06
1860,9136,M,1:47:07
1861,8043,W,1:47:08
1862,9179,W,1:47:08
1863,7219,M,1:47:08
1864,8407,M,1:47:09
1865,2551,W,1:47:09
1866,5095,M,1:47:09
1867,1527,M,1:47:09
1868,6580,M,1:47:10
1869,5195,M,1:47:10
1870,4206,W,1:47:10
1871,4980,M,1:47:11
1872,6341,M,1:47:12
1873,952,M,1:47:12
1874,9277,W,1:47:13
1875,577,M,1:47:13
1876,8108,M,1:47:14
1877,6571,W,1:47:14
1878,3472,M,1:47:14
1879,5313,M,1:47:15
1880,9170,M,1:47:15
1881,1049,W,1:47:16
1882,5090,M,1:47:17
1883,3280,M,1:47:17
1884,8041,M,1:47:17
1885,9086,W,1:47:17
1886,3431,M,1:47:18
1887,2346,W,1:47:18
1888,1280,W,1:47:18
1889,1008,M,1:47:19
1890,3221,M,1:47:19
1891,9320,M,1:47:19
1892,2503,M,1:47:21
1893,4021,M,1:47:23
1894,7229,M,1:47:23
1895,2206,M,1:47:23
1896,8072,M,1:47:24
1897,6305,W,1:47:24
1898,1696,W,1:47:25
1899,5446,M,1:47:25
1900,1352,M,1:47:26
1901,2123,M,1:47:28
1902,2723,M,1:47:29
1903,6910,M,1:47:30
1904,3030,M,1:47:30
1905,2622,M,1:47:30
1906,1999,M,1:47:30
1907,6618,W,1:47:30
1908,8012,W,1:47:31
1909,8015,M,1:47:31
1910,7907,M,1:47:31
1911,6277,M,1:47:31
1912,2845,M,1:47:31
1913,1130,M,1:47:32
1914,1720,M,1:47:32
1915,1221,M,1:47:33
1916,1875,W,1:47:33
1917,7307,M,1:47:34
1918,8189,M,1:47:34
1919,8874,M,1:47:34
1920,4329,M,1:47:34
1921,8378,M,1:47:34
1922,5250,W,1:47:35
1923,8424,M,1:47:35
1924,2222,M,1:47:35
1925,3133,M,1:47:36
1926,5693,M,1:47:36
1927,1557,M,1:47:36
1928,4076,W,1:47:36
1929,6014,M,1:47:36
1930,6197,W,1:47:37
1931,5948,M,1:47:37
1932,5199,W,1:47:38
1933,5185,M,1:47:38
1934,1718,M,1:47:38
1935,7508,W,1:47:38
1936,1328,M,1:47:39
1937,2484,M,1:47:39
1938,4244,M,1:47:39
1939,7353,M,1:47:39
1940,8198,M,1:47:40
1941,8171,M,1:47:41
1942,7347,M,1:47:41
1943,2441,W,1:47:43
1944,6402,M,1:47:44
1945,1254,W,1:47:44
1946,1457,M,1:47:44
1947,9456,M,1:47:44
1948,7954,M,1:47:45
1949,7169,W,1:47:45
1950,5752,W,1:47:45
1951,1944,W,1:47:46
1952,6138,W,1:47:47
1953,6451,W,1:47:47
1954,1182,W,1:47:47
1955,7522,M,1:47:47
1956,3251,M,1:47:48
1957,806,M,1:47:48
1958,4818,M,1:47:48
1959,4591,W,1:47:49
1960,617,W,1:47:49
1961,7813,M,1:47:49
1962,7507,M,1:47:50
1963,2035,M,1:47:50
1964,9094,M,1:47:50
1965,2470,W,1:47:51
1966,6088,M,1:47:51
1967,9009,W,1:47:51
1968,4729,M,1:47:52
1969,9218,W,1:47:52
1970,7318,M,1:47:53
1971,3777,W,1:47:54
1972,1383,M,1:47:54
1973,6063,M,1:47:55
1974,8240,M,1:47:56
1975,5644,M,1:47:56
1976,7913,W,1:47:57
1977,7677,W,1:47:57
1978,7686,M,1:47:57
1979,5495,M,1:47:57
1980,4163,M,1:47:58
1981,1197,M,1:47:58
1982,6655,M,1:47:58
1983,1453,M,1:47:58
1984,1020,W,1:47:59
1985,5390,W,1:47:59
1986,5256,M,1:47:59
1987,4391,M,1:48:00
1988,1299,M,1:48:00
1989,2976,M,1:48:00
1990,7158,M,1:48:00
1991,3040,M,1:48:01
1992,7986,M,1:48:02
1993,3412,M,1:48:02
1994,7729,M,1:48:02
1995,8517,M,1:48:02
1996,7989,M,1:48:02
1997,3524,W,1:48:03
1998,1661,W,1:48:03
1999,6358,W,1:48:04
2000,7698,M,1:48:04
2001,1723,M,1:48:05
2002,1331,M,1:48:05
2003,6203,M,1:48:06
2004,3148,M,1:48:06
2005,5834,M,1:48:06
2006,5617,W,1:48:07
2007,3013,M,1:48:07
2008,6202,W,1:48:07
2009,8140,W,1:48:08
2010,7743,M,1:48:08
2011,6932,M,1:48:08
2012,1178,M,1:48:09
2013,5633,M,1:48:09
2014,2652,W,1:48:09
2015,4737,M,1:48:09
2015,565,M,1:48:09
2017,6822,W,1:48:12
2018,938,M,1:48:12
2019,4785,M,1:48:12
2020,7612,M,1:48:13
2021,2271,M,1:48:13
2022,2142,M,1:48:13
2023,5839,M,1:48:13
2024,2281,W,1:48:13
2025,3465,M,1:48:14
2026,8573,W,1:48:14
2027,5474,W,1:48:15
2028,6122,M,1:48:15
2029,8636,W,1:48:15
2030,7687,M,1:48:16
2031,7374,M,1:48:16
2032,8961,W,1:48:16
2033,6176,M,1:48:17
2034,772,M,1:48:17
2035,7911,W,1:48:18
2036,8463,M,1:48:18
2037,9175,M,1:48:19
2038,5701,M,1:48:19
2039,5700,M,1:48:20
2040,9106,W,1:48:20
2041,7603,M,1:48:20
2042,1211,M,1:48:21
2043,6711,M,1:48:22
2044,4430,M,1:48:22
2045,4450,W,1:48:23
2046,2406,M,1:48:23
2047,1133,W,1:48:24
2048,6632,W,1:48:24
2049,4775,M,1:48:25
2050,4210,M,1:48:25
2051,6281,M,1:48:26
2052,7506,M,1:48:26
2053,3826,W,1:48:26
2054,7330,M,1:48:26
2055,4121,M,1:48:26
2056,2637,M,1:48:26
2057,6667,W,1:48:27
2058,1207,M,1:48:27
2059,5635,M,1:48:27
2060,8183,W,1:48:28
2061,1768,M,1:48:28
2062,871,W,1:48:28
2063,2648,M,1:48:28
2064,7428,M,1:48:29
2065,1785,M,1:48:29
2066,6783,M,1:48:29
2067,1826,W,1:48:29
2068,826,M,1:48:30
2069,4506,W,1:48:31
2070,1864,W,1:48:31
2071,8835,M,1:48:31
2072,1350,W,1:48:32
2073,801,W,1:48:33
2074,2146,M,1:48:33
2075,3616,W,1:48:33
2076,3610,M,1:48:33
2077,8997,M,1:48:33
